URL,Status Code,Page Title,Meta Description,Meta Keywords,H1,Emails Found,Phone Numbers Found,Top Keywords,Word Count,Internal Links Found,Scraped At
https://zobsai.com/,200,Zobsai - AI Job Application Assistant & Resume Builder,"Streamline your job search with Zobsai. Use our AI to build ATS-friendly resumes, write cover letters, and auto-apply to thousands of jobs instantly.","AI job portal,resume builder,auto apply bot,job search automation,cover letter generator,find jobs fast,ATS optimization,Zobsai",Start Applying | with | ZobsAI | Meet Your | AI Job Search Assistant,info@zobsai.com,,"job, zobsai, resume, search, ats, jobs, apply, applications, cover, application",1009,10,2026-03-29 10:32:58
https://zobsai.com/login,200,Zobsai - AI Job Application Assistant & Resume Builder,"Streamline your job search with Zobsai. Use our AI to build ATS-friendly resumes, write cover letters, and auto-apply to thousands of jobs instantly.","AI job portal,resume builder,auto apply bot,job search automation,cover letter generator,find jobs fast,ATS optimization,Zobsai",,,,"zobsai, job, resume, builder, search, cover, jobs, application, assistant, streamline",4,0,2026-03-29 10:32:58
https://zobsai.com/signup,200,Zobsai - AI Job Application Assistant & Resume Builder,"Streamline your job search with Zobsai. Use our AI to build ATS-friendly resumes, write cover letters, and auto-apply to thousands of jobs instantly.","AI job portal,resume builder,auto apply bot,job search automation,cover letter generator,find jobs fast,ATS optimization,Zobsai",,,,"zobsai, job, resume, builder, search, cover, jobs, application, assistant, streamline",4,0,2026-03-29 10:32:58
https://zobsai.com/campus-ambassador,200,Campus Ambassador Program | Zobsai,Join our Campus Ambassador Program to help students find their dream job. Get matched with top companies and help them find talented candidates.,"campus ambassador program,student job portal,job listings,student networking,career opportunities",Become a ZobsAI | Campus Ambassador,info@zobsai.com,,"zobsai, community, campus, job, student, ambassador, students, career, leadership, role",492,11,2026-03-29 10:32:59
https://zobsai.com/contact-us,200,Contact Us | Zobsai,Get in touch with the Zobsai team. We are here to help you navigate your career journey with our AI tools.,"contact us,get in touch,email support,customer inquiries,office location,business contact",Get In Touch,info@zobsai.com,,"zobsai, contact, job, touch, policy, help, career, email, support, location",153,10,2026-03-29 10:32:59
https://zobsai.com/bug-report,200,Report a Bug | Zobsai Support,Encountered an issue? Help us improve Zobsai by reporting bugs. Our engineering team uses your feedback to streamline the AI job application experience.,"report bug,zobsai support,software issue,feedback,customer service,troubleshooting,contact support",Report an Issue,info@zobsai.com,,"zobsai, report, job, bug, support, severity, issue, feedback, contact, policy",148,10,2026-03-29 10:32:59
https://zobsai.com/privacy-policy,200,Privacy Policy - Your Data Security | Zobsai,We value your privacy. Learn how Zobsai protects your personal data and resume information while you search for jobs.,"privacy policy,data protection,user privacy,GDPR compliance,security,terms of use",Privacy Policy,"dpo@zobsai.com, info@zobsai.com, support@zobsai.com",,"data, zobsai, job, policy, gmail, chrome, browser, user, extension, privacy",1607,10,2026-03-29 10:32:59
https://zobsai.com/terms-of-service,200,Terms of Service | Zobsai,Read our Terms of Service to understand the rules and regulations guiding the use of Zobsai’s AI job portal.,"terms of service,user agreement,legal terms,conditions of use,service agreement,policy",Terms and Conditions,"info@zobsai.com, support@zobsai.com",,"site, use, terms, zobsai, may, limited, service, policy, laws, access",1578,10,2026-03-29 10:33:00
https://zobsai.com/cancellation-refundpolicy,200,Zobsai - AI Job Application Assistant & Resume Builder,"Streamline your job search with Zobsai. Use our AI to build ATS-friendly resumes, write cover letters, and auto-apply to thousands of jobs instantly.","AI job portal,resume builder,auto apply bot,job search automation,cover letter generator,find jobs fast,ATS optimization,Zobsai",Cancellation & Refund Policy,"info@zobsai.com, support@zobsai.com",,"zobsai, cancellation, services, job, refund, policy, may, request, payment, service",1032,10,2026-03-29 10:33:00
https://zobsai.com/cookie-policy,200,Cookie Policy | Zobsai,Understand how we use cookies to improve your user experience and provide personalized job recommendations.,"cookie policy,data tracking,web cookies,user experience,privacy settings",Cookie Policy,"dpo@zobsai.com, info@zobsai.com, support@zobsai.com",,"cookies, policy, zobsai, cookie, use, data, services, job, privacy, may",550,10,2026-03-29 10:33:00
https://zobsai.com/jobs/school-ambassdor-university-campus-ambassdor-0dn7yj,200,Job Details & AI Analysis | Zobsai,View comprehensive job details. Our AI analyzes this role against your profile to give you a Match Score and application tips.,"AI job portal,resume builder,auto apply bot,job search automation,cover letter generator,find jobs fast,ATS optimization,Zobsai",,,,"job, zobsai, details, analysis, view, comprehensive, analyzes, role, against, profile",17,2,2026-03-29 10:33:01
